Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"U4,U3,U2",SOIC-16W_7.5x10.3mm_P1.27mm,3,cd40109,
2,JP2,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,DBG_DATA,
3,JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,DBG_LED,
4,R22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,R_Small,
5,D2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,D,
6,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,LED,
7,"C17,C15,C14,C13,C12,C5,C4,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,8,100nF,
8,C16,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,100uF,
9,J1,PinSocket_1x12_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x12_Female,
10,"C11,C10,C9,C8,C7,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,6,C_Small,
11,"C2,C1",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,20pF,
12,Y1,Crystal_SMD_HC49-SD_HandSoldering,1,16MHz,
13,U1,LQFP-44_10x10mm_P0.8mm,1,QT1481,
14,"TP28,TP27,TP26,TP25,TP24,TP23,TP22,TP21,TP20,TP19,TP18,TP17,TP16,TP15,TP14,TP13,TP12,TP11,TP10,TP9,TP8,TP7,TP6,TP5,TP4,TP3,TP2,TP1",qt_touch_12_x_12,28,Touchpad_qt,
15,"R21,R20,R19,R18,R17,R16,R15,R14,R13,R12,R11,R10,R8,R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,14,1k,
16,"R9,R6,R5,R4,R3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5,470k,
17,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,407k,
18,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,4k7,
